id,Q7
1,3
2,3
3,3
4,3
5,3
6,0
7,2
8,2
9,3
10,2
11,2
12,0
13,0
14,0
15,3
16,3
17,2
18,1
19,2
20,2
21,2
22,0
23,3
24,2
25,0
26,3
27,3
28,1.5
29,3
30,3
31,1
32,2
33,0
34,2
35,3
36,2
37,3
38,3
39,0
40,0
41,0
42,0
43,3
44,2
45,2
46,2
47,3
48,0
49,2
50,2
51,3
52,3
53,0
54,2
55,3
56,0
57,3
58,2
59,3
60,1
61,2.5
62,3
63,3
64,3
65,3
66,2
67,1
68,0
69,3
70,1
71,3
72,0
73,3
74,1.5
75,3
76,2
77,3
78,2
79,0
80,2
81,3
82,3
83,2
84,2
85,3
86,2
87,3
88,0
89,1
90,3
91,3
92,2
93,3
94,2
95,3
96,2
97,2
98,2.5
99,0
100,3
101,2
102,3
103,3
104,0
105,3
106,3
107,3
108,3
109,2
110,3
111,0
112,2
113,1.5
114,3
115,3
116,3
117,3
118,0
119,3
120,0
121,3
122,3
123,3
124,2
125,0.5
126,2
127,3
128,3
129,3
