id,Q4
1,0
2,4
3,0
4,2
5,4
6,4
7,5.5
8,4
9,0
10,0
11,0
12,0
13,4
14,2.5
15,0
16,6
17,2
18,0
19,4
20,4
21,4.5
22,0
23,6
24,5
25,2
26,4
27,6
28,0
29,0
30,6
31,0
32,6
33,3
34,2
35,0
36,5
37,4
38,0
39,3
40,0
41,4
42,0
43,0
44,4
45,0
46,0
47,0
48,0
49,0
50,6
51,6
52,3
53,0
54,6
55,4
56,0
57,6
58,0
59,4
60,0
61,0
62,6
63,3.5
64,2
65,4
66,0
67,1
68,6
69,0
70,0
71,4
72,0
73,5.5
74,1.5
75,2
76,4
77,2
78,0
79,0
80,6
81,6
82,0
83,4
84,6
85,6
86,2
87,4
88,0
89,0
90,0
91,1
92,2
93,0
94,6
95,4
96,0
97,4
98,3.5
99,1.5
100,0
101,6
102,6
103,6
104,0
105,6
106,6
107,0
108,6
109,0
110,6
111,0
112,0
113,0
114,6
115,5
116,4
117,4
118,4
119,3
120,4
121,4
122,4
123,1
124,6
125,0
126,0
127,0
128,3
129,6
