id,Q9
1,6
2,3
3,6
4,6
5,5
6,5
7,1
8,5
9,5
10,4
11,0
12,0
13,6
14,0
15,0
16,6
17,4
18,0
19,6
20,2
21,6
22,0
23,7
24,5
25,0
26,6
27,2
28,1
29,6
30,6
31,0
32,6
33,6
34,6
35,3
36,0
37,0
38,4
39,5
40,0
41,2
42,5
43,0
44,2
45,0
46,5
47,2
48,0
49,1
50,6
51,6
52,6
53,0
54,3
55,2
56,1
57,1
58,4
59,6
60,1
61,1
62,6
63,1
64,6
65,5
66,2
67,5
68,6
69,6
70,0
71,6
72,0
73,6
74,5
75,2
76,0
77,4
78,2
79,0
80,4
81,7
82,0
83,6
84,4
85,5
86,5
87,6
88,0
89,0
90,0
91,4
92,0
93,5
94,6
95,6.5
96,6
97,4
98,5
99,0
100,0
101,6
102,5
103,6
104,0
105,6
106,7
107,1
108,7
109,1
110,6
111,1
112,0
113,0
114,7
115,6
116,7
117,0
118,0
119,5
120,0
121,6
122,2
123,5
124,6
125,3
126,0
127,6
128,6
129,6
