id,Q6
1,3
2,6
3,1
4,4
5,3
6,4
7,0
8,2
9,1
10,1
11,5
12,7
13,3
14,3
15,2
16,7
17,2
18,3
19,7
20,1
21,0
22,3
23,2
24,0
25,4
26,7
27,1
28,1
29,0
30,1
31,1
32,2
33,4
34,6
35,5
36,5
37,5
38,2
39,2
40,2
41,0
42,0
43,6
44,4
45,1
46,1
47,7
48,3
49,1
50,0
51,2
52,7
53,0
54,3
55,1
56,2
57,2
58,6
59,2
60,0
61,0
62,6
63,1
64,5
65,2
66,3
67,3
68,5
69,2
70,2
71,2
72,5
73,3
74,2
75,6
76,7
77,2
78,0
79,5
80,3
81,7
82,3
83,2
84,3
85,1
86,7
87,5
88,0
89,1
90,4
91,1
92,2
93,4
94,0
95,0
96,2
97,7
98,5
99,2
100,0
101,3
102,6
103,6
104,0
105,6
106,1
107,6
108,1
109,3
110,0
111,3
112,7
113,0
114,5
115,6
116,0
117,2
118,3
119,4
120,1
121,3
122,6
123,4
124,2
125,0
126,6
127,6
128,4
129,2
