id,Q5
1,5
2,8
3,5.5
4,8
5,3.5
6,6
7,5
8,4
9,6
10,8
11,0.5
12,0
13,3
14,2.5
15,0
16,6
17,4
18,0
19,8
20,5.5
21,2
22,0
23,7
24,8
25,2
26,6.5
27,5.5
28,3
29,7
30,8
31,0
32,6.5
33,0
34,5.5
35,5
36,8
37,4
38,2
39,8
40,0.5
41,0
42,3.5
43,5.5
44,3
45,0
46,5
47,5
48,0
49,3.5
50,7.5
51,6
52,4
53,0
54,4.5
55,5
56,0
57,5
58,5.5
59,7.5
60,0
61,0
62,5.5
63,6
64,3.5
65,4
66,3
67,0
68,6
69,4
70,1
71,0
72,3
73,6.5
74,2.5
75,4
76,3.5
77,3
78,5
79,1
80,7
81,7.5
82,3
83,7
84,3.5
85,6
86,4
87,5
88,0
89,0.5
90,0
91,0
92,4.5
93,8
94,4
95,7
96,6
97,0
98,4.5
99,0
100,0
101,4
102,4.5
103,7
104,6
105,7
106,8
107,0
108,5
109,0
110,6
111,4
112,0
113,0
114,5.5
115,4.5
116,7.5
117,8
118,4
119,7
120,5
121,7
122,7.5
123,0
124,4
125,1.5
126,0
127,6
128,4.5
129,7.5
