id,Q8
1,0
2,3
3,3
4,0
5,0
6,3
7,0
8,2
9,2
10,3
11,3
12,2
13,2
14,3
15,2
16,0
17,3
18,2
19,2
20,0
21,0
22,2
23,3
24,3
25,3
26,3
27,3
28,2
29,3
30,1
31,3
32,2
33,2
34,1
35,2
36,0
37,0
38,3
39,0
40,1
41,0
42,2
43,1
44,3
45,1
46,2
47,1
48,1
49,2
50,2
51,3
52,0
53,2
54,1
55,3
56,2
57,3
58,1
59,2
60,0
61,3
62,1
63,3
64,0
65,3
66,0
67,3
68,1
69,1
70,2
71,1
72,2
73,3
74,1
75,2
76,0
77,3
78,3
79,1
80,0
81,0
82,1
83,2
84,3
85,3
86,0
87,1
88,1
89,1
90,1
91,2
92,3
93,1
94,3
95,3
96,1
97,3
98,3
99,3
100,1
101,1
102,3
103,1
104,0
105,1
106,1
107,0
108,2
109,3
110,3
111,1
112,2
113,1
114,1
115,1
116,0
117,2
118,3
119,3
120,0
121,2
122,0
123,3
124,0
125,1
126,2
127,1
128,0
129,2
