id,Q3
1,3
2,1
3,3
4,1
5,2
6,4
7,2
8,0
9,4
10,0
11,3
12,4
13,1
14,2
15,0
16,4
17,2
18,3
19,3
20,2
21,1
22,0
23,1
24,1
25,3
26,0
27,2
28,3
29,3
30,2
31,1
32,2
33,2
34,1
35,3
36,0
37,4
38,1
39,4
40,3
41,2
42,4
43,2
44,3
45,2
46,4
47,3
48,1
49,4
50,1
51,4
52,4
53,1
54,0
55,1
56,4
57,0
58,0
59,1
60,4
61,3
62,1
63,2
64,0
65,0
66,2
67,2
68,0
69,4
70,3
71,2
72,0
73,0
74,4
75,4
76,3
77,2
78,4
79,1
80,4
81,1
82,0
83,1
84,1
85,4
86,0
87,0
88,4
89,4
90,2
91,4
92,0
93,3
94,3
95,4
96,1
97,3
98,0
99,3
100,0
101,0
102,2
103,0
104,0
105,2
106,1
107,1
108,4
109,4
110,4
111,2
112,1
113,2
114,4
115,3
116,1
117,0
118,3
119,3
120,1
121,1
122,4
123,4
124,0
125,3
126,3
127,4
128,2
129,3
